Day,Age,"Ad set name","Ad name","Campaign name","Account name","Account ID",Reach,Impressions,"Attribution setting",Frequency,"Amount spent (USD)","Link clicks",Purchases,"Mobile app purchases","Website purchases","Cost per purchase","App Installs","Mobile app installs","Desktop app installs","Cost per App Install","Landing page views","New messaging connections","Cost per new messaging connection","Messaging conversations started","CPM (cost per 1,000 impressions)","Campaign delivery","Post reactions","Post engagement","Post shares","Cost per Page engagement","Cost per landing page view","Reporting starts","Reporting ends","Campaign name","Clicks (all)","CPC (cost per link click)","100% VTR","50% VTR","25% VTR","75% VTR","CTR (link click-through rate)","Delivery status","Delivery level","Result Type","Cost per result",Results,"Page engagement",ThruPlays,"Result rate"
2023-05-09,25-34,"all_customer_2022_with_value.csv, all_customer_2021_with_value.csv, all_customer_2020_with_value.csv","Eid bridge holiday Campaign - Sales","2304124581_P01|4800019312|Website||_Conversions_$237.00_CPR- $1_237_RobiDS_BDTickets_1.027Mn_Eid bridge holiday Campaign_Apr 25-May 4_All FB","BD Tickets - HP -BD - USD",263602211734258,0,0,"7-day click or 1-day view",0,0,,,,,,,,,,,,,,,inactive,,,,,,2023-05-09,2023-05-09,"2304124581_P01|4800019312|Website||_Conversions_$237.00_CPR- $1_237_RobiDS_BDTickets_1.027Mn_Eid bridge holiday Campaign_Apr 25-May 4_All FB",0,,,,,,,not_delivering,ad,,,,,,
2023-05-09,45-54,"Eid communication Video viewers","Eid bridge holiday Campaign - Sales","2304124581_P01|4800019312|Website||_Conversions_$237.00_CPR- $1_237_RobiDS_BDTickets_1.027Mn_Eid bridge holiday Campaign_Apr 25-May 4_All FB","BD Tickets - HP -BD - USD",263602211734258,0,0,"7-day click or 1-day view",0,0,,,,,,,,,,,,,,,inactive,,,,,,2023-05-09,2023-05-09,"2304124581_P01|4800019312|Website||_Conversions_$237.00_CPR- $1_237_RobiDS_BDTickets_1.027Mn_Eid bridge holiday Campaign_Apr 25-May 4_All FB",0,,,,,,,not_delivering,ad,,,,,,
2023-05-09,35-44,"Eid communication Video viewers","Eid bridge holiday Campaign - Sales","2304124581_P01|4800019312|Website||_Conversions_$237.00_CPR- $1_237_RobiDS_BDTickets_1.027Mn_Eid bridge holiday Campaign_Apr 25-May 4_All FB","BD Tickets - HP -BD - USD",263602211734258,0,0,"7-day click or 1-day view",0,0,,,,,,,,,,,,,,,inactive,,,,,,2023-05-09,2023-05-09,"2304124581_P01|4800019312|Website||_Conversions_$237.00_CPR- $1_237_RobiDS_BDTickets_1.027Mn_Eid bridge holiday Campaign_Apr 25-May 4_All FB",0,,,,,,,not_delivering,ad,,,,,,
2023-05-09,25-34,"Eid communication Video viewers","Eid bridge holiday Campaign - Sales","2304124581_P01|4800019312|Website||_Conversions_$237.00_CPR- $1_237_RobiDS_BDTickets_1.027Mn_Eid bridge holiday Campaign_Apr 25-May 4_All FB","BD Tickets - HP -BD - USD",263602211734258,0,0,"7-day click or 1-day view",0,0,,1,,1,0,,,,,,,,,,inactive,,,,,,2023-05-09,2023-05-09,"2304124581_P01|4800019312|Website||_Conversions_$237.00_CPR- $1_237_RobiDS_BDTickets_1.027Mn_Eid bridge holiday Campaign_Apr 25-May 4_All FB",0,,,,,,,not_delivering,ad,,,1,,,
2023-05-09,18-24,"Eid communication Video viewers","Eid bridge holiday Campaign - Sales","2304124581_P01|4800019312|Website||_Conversions_$237.00_CPR- $1_237_RobiDS_BDTickets_1.027Mn_Eid bridge holiday Campaign_Apr 25-May 4_All FB","BD Tickets - HP -BD - USD",263602211734258,0,0,"7-day click or 1-day view",0,0,,,,,,,,,,,,,,,inactive,,,,,,2023-05-09,2023-05-09,"2304124581_P01|4800019312|Website||_Conversions_$237.00_CPR- $1_237_RobiDS_BDTickets_1.027Mn_Eid bridge holiday Campaign_Apr 25-May 4_All FB",0,,,,,,,not_delivering,ad,,,,,,
2023-05-09,55-64,"Bdtickets website visitors, 90 Days – Copy","Eid bridge holiday Campaign - Sales","2304124581_P01|4800019312|Website||_Conversions_$237.00_CPR- $1_237_RobiDS_BDTickets_1.027Mn_Eid bridge holiday Campaign_Apr 25-May 4_All FB","BD Tickets - HP -BD - USD",263602211734258,0,0,"7-day click or 1-day view",0,0,,,,,,,,,,,,,,,inactive,,,,,,2023-05-09,2023-05-09,"2304124581_P01|4800019312|Website||_Conversions_$237.00_CPR- $1_237_RobiDS_BDTickets_1.027Mn_Eid bridge holiday Campaign_Apr 25-May 4_All FB",0,,,,,,,not_delivering,ad,,,,,,
2023-05-09,18-24,"Bdtickets website visitors, 90 Days – Copy","Eid bridge holiday Campaign - Sales","2304124581_P01|4800019312|Website||_Conversions_$237.00_CPR- $1_237_RobiDS_BDTickets_1.027Mn_Eid bridge holiday Campaign_Apr 25-May 4_All FB","BD Tickets - HP -BD - USD",263602211734258,0,0,"7-day click or 1-day view",0,0,,,,,,,,,,,,,,,inactive,,,,,,2023-05-09,2023-05-09,"2304124581_P01|4800019312|Website||_Conversions_$237.00_CPR- $1_237_RobiDS_BDTickets_1.027Mn_Eid bridge holiday Campaign_Apr 25-May 4_All FB",0,,,,,,,not_delivering,ad,,,,,,
2023-05-09,25-34,"[Sylhet to Pan BD productset] Custom Audience: Bdtickets website visitors last 90 Days","Travel Ads - Catalog Sales","2304124581_P01|4800019312|Website||_Conversions_$791.00_CPR- $1_791_RobiDS_BDTickets_1.027Mn_Always On Catalog sales_Apr 16-Jun 30_All FB","BD Tickets - HP -BD - USD",263602211734258,12,14,"7-day click or 1-day view",1.1666666666667,0,,,,,,,,,,,,,,0,active,,,,,,2023-05-09,2023-05-09,"2304124581_P01|4800019312|Website||_Conversions_$791.00_CPR- $1_791_RobiDS_BDTickets_1.027Mn_Always On Catalog sales_Apr 16-Jun 30_All FB",1,,0,0,0,0,,active,ad,,,,,,
2023-05-09,65+,"Bdtickets website visitors, 90 Days – Copy","Eid bridge holiday Campaign - Sales","2304124581_P01|4800019312|Website||_Conversions_$237.00_CPR- $1_237_RobiDS_BDTickets_1.027Mn_Eid bridge holiday Campaign_Apr 25-May 4_All FB","BD Tickets - HP -BD - USD",263602211734258,0,0,"7-day click or 1-day view",0,0,,,,,,,,,,,,,,,inactive,,,,,,2023-05-09,2023-05-09,"2304124581_P01|4800019312|Website||_Conversions_$237.00_CPR- $1_237_RobiDS_BDTickets_1.027Mn_Eid bridge holiday Campaign_Apr 25-May 4_All FB",0,,,,,,,not_delivering,ad,,,,,,
2023-05-09,18-24,"Custom Audience: Lookalike (1%) - Purchaser last 180 days","Bus Motion - Traffic","2304124581_P01|4800019312|Website||_Traffic_$395.00_CPR- $0.06_6,583_RobiDS_BDTickets_1.027Mn_Always On Traffic_Apr 16-Jun 30_All FB","BD Tickets - HP -BD - USD",263602211734258,3,3,"7-day click or 1-day view",1,0,,,,,,,,,,,,,,0,active,,1,,0,,2023-05-09,2023-05-09,"2304124581_P01|4800019312|Website||_Traffic_$395.00_CPR- $0.06_6,583_RobiDS_BDTickets_1.027Mn_Always On Traffic_Apr 16-Jun 30_All FB",0,,,,0.33333333,,,active,ad,,,,1,,
2023-05-09,45-54,"Custom Audience: Lookalike (1%) - Purchaser last 180 days","Bus Motion - Traffic","2304124581_P01|4800019312|Website||_Traffic_$395.00_CPR- $0.06_6,583_RobiDS_BDTickets_1.027Mn_Always On Traffic_Apr 16-Jun 30_All FB","BD Tickets - HP -BD - USD",263602211734258,4,4,"7-day click or 1-day view",1,0,,,,,,,,,,,,,,0,active,,2,,0,,2023-05-09,2023-05-09,"2304124581_P01|4800019312|Website||_Traffic_$395.00_CPR- $0.06_6,583_RobiDS_BDTickets_1.027Mn_Always On Traffic_Apr 16-Jun 30_All FB",0,,,0.25,0.25,0.25,,active,ad,,,,2,,
2023-05-09,35-44,"Custom Audience: Lookalike (1%) - Purchaser last 180 days","Bus Motion - Traffic","2304124581_P01|4800019312|Website||_Traffic_$395.00_CPR- $0.06_6,583_RobiDS_BDTickets_1.027Mn_Always On Traffic_Apr 16-Jun 30_All FB","BD Tickets - HP -BD - USD",263602211734258,10,10,"7-day click or 1-day view",1,0,,,,,,,,,,,,,,0,active,,7,,0,,2023-05-09,2023-05-09,"2304124581_P01|4800019312|Website||_Traffic_$395.00_CPR- $0.06_6,583_RobiDS_BDTickets_1.027Mn_Always On Traffic_Apr 16-Jun 30_All FB",0,,0.5,0.6,0.6,0.6,,active,ad,,,,7,5,
2023-05-09,25-34,"Custom Audience: Lookalike (1%) - Purchaser last 180 days","Bus Motion - Traffic","2304124581_P01|4800019312|Website||_Traffic_$395.00_CPR- $0.06_6,583_RobiDS_BDTickets_1.027Mn_Always On Traffic_Apr 16-Jun 30_All FB","BD Tickets - HP -BD - USD",263602211734258,12,13,"7-day click or 1-day view",1.0833333333333,0,,,,,,,,,,,,,,0,active,,2,,0,,2023-05-09,2023-05-09,"2304124581_P01|4800019312|Website||_Traffic_$395.00_CPR- $0.06_6,583_RobiDS_BDTickets_1.027Mn_Always On Traffic_Apr 16-Jun 30_All FB",0,,0.07692308,0.07692308,0.15384615,0.07692308,,active,ad,,,,2,1,
2023-05-09,35-44,"[Sylhet to Pan BD productset] Custom Audience: Bdtickets website visitors last 90 Days","Travel Ads - Catalog Sales","2304124581_P01|4800019312|Website||_Conversions_$791.00_CPR- $1_791_RobiDS_BDTickets_1.027Mn_Always On Catalog sales_Apr 16-Jun 30_All FB","BD Tickets - HP -BD - USD",263602211734258,4,10,"7-day click or 1-day view",2.5,0,,,,,,,,,,,,,,0,active,,,,,,2023-05-09,2023-05-09,"2304124581_P01|4800019312|Website||_Conversions_$791.00_CPR- $1_791_RobiDS_BDTickets_1.027Mn_Always On Catalog sales_Apr 16-Jun 30_All FB",0,,0,0,0,0,,active,ad,,,,,,
2023-05-09,18-24,"[Sylhet to Pan BD productset] Custom Audience: Bdtickets website visitors last 90 Days","Travel Ads - Catalog Sales","2304124581_P01|4800019312|Website||_Conversions_$791.00_CPR- $1_791_RobiDS_BDTickets_1.027Mn_Always On Catalog sales_Apr 16-Jun 30_All FB","BD Tickets - HP -BD - USD",263602211734258,12,13,"7-day click or 1-day view",1.0833333333333,0,,,,,,,,,,,,,,0,active,,,,,,2023-05-09,2023-05-09,"2304124581_P01|4800019312|Website||_Conversions_$791.00_CPR- $1_791_RobiDS_BDTickets_1.027Mn_Always On Catalog sales_Apr 16-Jun 30_All FB",1,,0,0,0,0,,active,ad,,,,,,
2023-05-09,35-44,"[Rajshahi to Pan BD productset] Custom Audience: People who visit website last 90 days","Travel Ads - Catalog Sales","2304124581_P01|4800019312|Website||_Conversions_$791.00_CPR- $1_791_RobiDS_BDTickets_1.027Mn_Always On Catalog sales_Apr 16-Jun 30_All FB","BD Tickets - HP -BD - USD",263602211734258,22,28,"7-day click or 1-day view",1.2727272727273,0.01,,,,,,,,,,,,,,0.35714286,active,,,,,,2023-05-09,2023-05-09,"2304124581_P01|4800019312|Website||_Conversions_$791.00_CPR- $1_791_RobiDS_BDTickets_1.027Mn_Always On Catalog sales_Apr 16-Jun 30_All FB",1,,0,0,0,0,,active,ad,,,,,,
